id,name,category,link,location
1,Karen Hart Asbury,Prenatal massage / physical therapy,https://www.themobnation.com/member-directory.html?fbclid=IwAR1LplTjE9TVaG6N8LjVp1OfwAVGh6vIpJTBOtyiUL4RYnF1KWNb4AaQaiM#!biz/id/58dddd7d07ac80870e55be48,Portland
2,Mama needs a massage,Prenatal massage / physical therapy,https://www.facebook.com/MamaNeedsMassage/,Portland
3,Marissa Kimura Emery,Prenatal massage / physical therapy,https://www.facebook.com/marissa.k.emery?hc_location=ufi,Portland
4,Journey to Health PT Wellness Clinic,Prenatal massage / physical therapy,https://l.facebook.com/l.php?u=http%3A%2F%2Fjourneytohealthpt.com%2F%3Ffbclid%3DIwAR3JnzAhyLnYkXYvV3Zdwg_snGuGS5jZGbGulyf2Wj0anTEHcIxSSAkQe8U&h=AT2EmmK2q3F9u3Y4kCgabtPjc4Xh9fxBJvei2OwzBDP4ymA2-EGOp--Z0VdZvmKl5O0rRmpqMOUgLjyPr_bmNhn2IPPlmwdGdVPQLfOUCeVELIVAaNRwl1tpuqcHuW8eYHt-BP4,Portland
5,The Bowen Body Whisperer,Prenatal massage / physical therapy,https://www.facebook.com/thebowenbodywhisperer/?hc_location=ufi,Portland
6,Samantha Lewis,Prenatal massage / physical therapy,https://www.facebook.com/samantha.lewis.969?hc_location=ufi,Portland
7,Jasper Moon,Prenatal massage / physical therapy,https://www.growingseason.care/,Portland
8,Monicka Koneski,prenatal massage,portlandfamilyhealth.com,Portland
9,Le’ D bug boutique,Children's boutique,https://ledbugboutique.com/,Portland
10,Milagros Boutique,Children's boutique,www.milagrosboutique.com,Portland
11,Pinwheels Resale,Children's boutique,https://www.facebook.com/Pinwheels.resale/?hc_location=ufi,Portland
12,Treehouse Children's Boutique,Children's boutique,https://squareup.com/store/treehouse-childrens-boutique,Portland
13,Tiny Hinys,Children's boutique,http://www.tinyhinys.com/,Vancouver
14,Cookie Pot Children's Boutique,Children's boutique,https://www.facebook.com/cookiepotkids/?hc_location=ufi,Gladstone
15,Smart Start Play School,Childcare,https://www.facebook.com/smartstartplayschooloc/,Portland
16,Christina Rodriguez-Hurtado,Childcare,https://www.facebook.com/chena.hurtadorodriguez,Portland
17,Little Professors Preschool,Childcare,https://www.facebook.com/LittleProfessorsPreschool/,Portland
18,Slumbertime Solutions,Sleep training consultant,https://www.facebook.com/marieeve.gagnon.75?hc_location=ufi,Portland
19,Brittney Stefanic,Sleep training consultant,https://l.facebook.com/l.php?u=https%3A%2F%2Fbrittneystefanicsleep.com%2Fcontact%2F%3Ffbclid%3DIwAR1-qT9pHEXrpZk7hXg9Ox62ev4hmU7k6FSA_tqGJf0RNqIFEa6lcXsEI3E&h=AT2aCjK8o1AZ2P6Q3GdZGR5Jdth1e2VZfjVStNJsFrb8yg-kW8zctkB9L2aic7l4L8r21oveRyIC5P2BE1sk9ce51yTt8ISI19ExiJdN5NPY8hNUH8wU7UcBPII5olU4OygnKKQ,Portland
20,Itsabelly,Sleep training consultant,https://www.facebook.com/Itsabelly/?hc_location=ufi,Portland
21,Birthing Stone Doula & Childcare Services,Sleep training consultant,https://www.facebook.com/BirthingStoneDoula/?hc_location=ufi,Portland
22,Mountain Baby Sleep Company,Sleep training consultant,https://www.mountainbabysleepco.com/?fbclid=IwAR0Z6B9OJ5faBiHc79jh1BWil028KX4WNfPuzw03lvyvvc4B9-P1_Xk_q5k,Portland
23,Tranquil Beginnings,Sleep training consultant,https://www.facebook.com/PeaceSleepHarmony/?hc_location=ufi,Portland
24,Laura Olson,Sleep training consultant,Www.instagram.com/Sleepandthecity,Portland
25,Marie-Eve Gagnon,Sleep training consultant,https://www.facebook.com/marieeve.gagnon.75?hc_location=ufi,Portland
26,RedFred Productions,Event Photography,https://www.facebook.com/RedFredPro/?hc_location=ufi,Portland
27,Red Letter Days,Event Photography,https://www.facebook.com/redletterdaysphotography/?hc_location=ufi,Portland
28,Rena Lee,Event Photography,https://www.facebook.com/renaleephotography/?hc_location=ufi,Portland
29,Bates Videography,Event Photography,https://www.facebook.com/ACBatesVideography/,Portland
30,Aedan Studio Photography,Event Photography,https://www.facebook.com/AedanStudio/,Portland
31,Micaela Batterberry,Event Photography,https://www.facebook.com/mbatterberry?hc_location=ufi,Portland
32,Jessica Clark,Event Photography,https://www.facebook.com/JesssuckaClark?hc_location=ufi,Portland
33,Nancy Minoui Photography,Event Photography,http://nancyminouiphotography.com/?fbclid=IwAR2viqXp_QIJsdARKvW_ulyYhV3rnxfUuvVGwCYLlDEFsK1IDH84oVP0f-I,Portland
34,Karina Lauzis Tobin,Event Photography,https://www.facebook.com/karina.l.tobin?hc_location=ufi,Portland
35,Joanie Johnson,Event Photography,https://www.facebook.com/joanie.johnson1?hc_location=ufi,Portland
36,Ms. M Lang Photography,Event Photography,https://www.facebook.com/msmlangphotography/?hc_location=ufi,Portland
37,Eloquent Moments Photography,Event Photography,http://www.eloquentmomentsphotography.com/?fbclid=IwAR2dwNqV733AwpIuBSfc8OMtqUiZD03WihyfhPl6q0arzbw_L_jG_BREqO4,Portland
38,For the Love of Hazel Photography,Event Photography,https://www.facebook.com/fortheloveofHazel/?hc_location=ufi,Portland
39,Brittney Corey Photography,Event Photography,https://www.facebook.com/Brittney.Corey.Photography/?hc_location=ufi,Portland
40,Angela Lish,Event Photography,https://www.facebook.com/a.lphotographyllc/?hc_location=ufi,Portland
41,Erika Ellis,Event Photography,http://www.erikaellisphotography.com/?fbclid=IwAR2umxNWFQMArg3i8rxQFMPoarrIS1LxfV8_YAD01o37s3bQxha0_C9pJhM,Portland
42,Willow Creek Studios,Event Photography,https://willowcreekstudios.net/?fbclid=IwAR0bxP5hL6gXBgWG_FV6nmP1NZWV-d7Sc7yVIJEfqCb1c9ZqiScdMZBRIbk,Portland
43,ITK Pic,Event Photography,http://www.itkpic.com/?fbclid=IwAR0yorEV9S79elZ-VSKbegWIPHZ2x9hs0gTLIASM3oiqUn-NMclC-Pibfz0,Portland
44,Visual Impressions,Event Photography,https://www.facebook.com/VisualImpressions/?hc_location=ufi,Portland
45,Stella Maris,Event Photography,https://www.facebook.com/stellamarisphotography/,Portland
46,Christina Selnik,Event Photography,http://christinatselnik.com/?fbclid=IwAR0ViNabJoZ7-YMDCATyhwFurVsprd1ZEaOBu1CvA83tzoIW7Oxul3ekgBY,Portland
47,Believe Photography,Event Photography,https://www.facebook.com/believephotographyus/?hc_location=ufi,Portland
48,Leanna Rene Photography,Event Photography,https://www.facebook.com/LeannaRenePhotography/?hc_location=ufi,Portland
49,OMG Photography,Event Photography,https://www.facebook.com/omgphotography.PNW/,Portland
50,Alison Simon,Bakery,https://www.facebook.com/ali.j.simon?hc_location=ufi,Portland
51,Kristina Bradon,Bakery,https://www.facebook.com/bragdonkristina?hc_location=ufi,Portland
52,Box 42 Bakery,Bakery,http://www.box42bakery.com/?fbclid=IwAR1BNLDPIUfHPZsOL1dr1o-xEYE6P1ucpOr7erKlu6HqhjcaYSTdinoxdWE,Portland
53,Jen FitzPatrick,Bakery,Jen FitzPatrick,Portland
54,Bite Sized Love,Bakery,https://www.facebook.com/bakebitesizedlove/?hc_location=ufi,Portland
55,Melanie Lazar,Bakery,https://www.facebook.com/melanie.lazar?hc_location=ufi,Portland
56,Sarah's Sweet Treats,Bakery,https://www.facebook.com/SarahSweetsBakery/?hc_location=ufi,Portland
57,Little Sister Sweets,Bakery,https://www.facebook.com/littlesistersweets/?hc_location=ufi,Portland
58,Next Dimension Bakery,Bakery,https://www.facebook.com/ndbbakery/?hc_location=ufi,Portland
59,DB Dessert Company,Bakery,https://www.facebook.com/DBDessertCompany/?hc_location=ufi,Portland
60,Bullcreek Bakery,Bakery,https://www.facebook.com/BullcreekBakes/?hc_location=ufi,Portland
61,Sugarhouse Cake,Bakery,https://www.facebook.com/sugarhouseerin/?hc_location=ufi,Portland
62,Delectable BAked Goods,Bakery,https://www.facebook.com/delectablebakedgoods/?hc_location=ufi,Portland
63,LM Cake Studio,Bakery,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.lmcakestudio.com%2F%3Ffbclid%3DIwAR3v9dBhA_T9nD9HdW9hPeJZCScSV5WncV2CwG8jjO5h05IBcfWsVxp4Oaw&h=AT0XRz35daEFWxLONaoktYumjg16XsiiQ93tvhBtVrv4nbHxbKBnoolC6e09paLJNKm-SnhlCsL8_AucOiH6ZK-Zza1f4B7o-B_4xmurH-lt4aCGeuOzgnAi49kQW0_pCvJlGpM,Portland
64,Sprinkles of Joy,Bakery,https://www.facebook.com/sprinklesofjoy/?hc_location=ufi,Portland
65,Zsaquiana Venegoni,Bakery,https://www.facebook.com/zsaquiana?hc_location=ufi,Portland
66,Kimmi Burke at Milagros Boutique,baby / family photography,https://milagrosboutique.com/,Portland
67,Rushes & Waves,Birth photography,https://www.facebook.com/rushesandwaves/,Portland
68,Brtttney Corey,Birth photography,https://www.facebook.com/photo.php?fbid=10162211300690724&set=p.10162211300690724&type=3,Portland
69,Jessie Photo Doula,Birth photography,https://www.facebook.com/Jessiephotodoula/,Portland
70,Courtney Love Photography,Birth photography,https://www.facebook.com/Courtney-Love-Photography-138884986715946/,Portland
71,Jessica Clark,Birth photography,https://www.facebook.com/JesssuckaClark?hc_location=ufi,Portland
72,Kimberly Kimble,Birth photography,https://www.facebook.com/kimberlymkimble?hc_location=ufi,Portland
73,Meg Ross,Birth photography,https://www.facebook.com/theluckyshotphotos?hc_location=ufi,Portland
